name,image,ratings,no_of_ratings,discount_price,actual_price,category
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driv...",https://m.media-amazon.com/images/I/51PNGyUNvmL._AC_UL800_.jpg,3.5,166395.0,999.0,3299.0,Audio
"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with...",https://m.media-amazon.com/images/I/414we1a2KDL._AC_UL800_.jpg,3.5,166395.0,799.0,2599.0,Audio
"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with...",https://m.media-amazon.com/images/I/51ZT3aMrJIL._AC_UL800_.jpg,3.5,166395.0,799.0,2599.0,Audio
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driv...",https://m.media-amazon.com/images/I/513Fiu309lL._AC_UL800_.jpg,3.5,166395.0,999.0,3299.0,Audio
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),https://m.media-amazon.com/images/I/61+tzvHZi+L._AC_UL800_.jpg,4.1,164872.0,599.0,1490.0,Audio
boAt Bassheads 242 in Ear Wired Earphones with Mic(Blue),https://m.media-amazon.com/images/I/61eTnFwlbOL._AC_UL800_.jpg,4.1,164872.0,599.0,1490.0,Audio
boAt Bassheads 242 in Ear Wired Earphones with Mic(Orange),https://m.media-amazon.com/images/I/61EoTBg1+SL._AC_UL800_.jpg,4.1,164872.0,599.0,1490.0,Audio
boAt Bassheads 242 in Ear Wired Earphones with Mic(Neon Green),https://m.media-amazon.com/images/I/614P+3LGo+L._AC_UL800_.jpg,4.1,164872.0,599.0,1490.0,Audio
boAt Bassheads 242 in Ear Wired Earphones with Mic(Spirit Lime),https://m.media-amazon.com/images/I/61sILScAOQL._AC_UL800_.jpg,4.1,164872.0,599.0,1490.0,Audio
boAt Bassheads 242 in Ear Wired Earphones with Mic(Red),https://m.media-amazon.com/images/I/61LsDuCUjbL._AC_UL800_.jpg,4.1,164872.0,599.0,1490.0,Audio
"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with ...",https://m.media-amazon.com/images/I/516ITVD7WwL._AC_UL800_.jpg,4.2,161897.0,1399.0,2499.0,Wearables
"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, wi...",https://m.media-amazon.com/images/I/513a+PRsMvL._AC_UL800_.jpg,4.1,148827.0,1299.0,3990.0,Audio
"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, wi...",https://m.media-amazon.com/images/I/51aBTOiXRlL._AC_UL800_.jpg,4.1,148827.0,1499.0,3990.0,Audio
"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, wi...",https://m.media-amazon.com/images/I/515jdxLlmaL._AC_UL800_.jpg,4.1,148827.0,1299.0,3990.0,Audio
boAt Airdopes 441 Bluetooth Truly Wireless in Ear Earbuds with Mic with Up to 35H Total Playback Iwp Technology Immersive ...,https://m.media-amazon.com/images/I/51NYm-jsIZL._AC_UL800_.jpg,4.0,148271.0,1299.0,5999.0,Audio
"boAt Airdopes 441 Pro True Wireless in Ear Earbuds with mic, Upto 150 Hours Playback, Signature Sound, IWP Technology, IPX...",https://m.media-amazon.com/images/I/51FlB-lg2WL._AC_UL800_.jpg,4.0,148271.0,2999.0,6990.0,Audio
"boAt Airdopes 441 Pro Bluetooth Truly Wireless in Ear Earbuds with mic, Upto 150 Hours Playback, Signature Sound, IPX7, BT...",https://m.media-amazon.com/images/I/51U-1ZlVFDL._AC_UL800_.jpg,4.0,148271.0,2999.0,6990.0,Audio
"boAt Airdopes 441 Pro Bluetooth Truly Wireless in Ear Earbuds with mic, Upto 150 Hours Playback, Signature Sound, IWP™ Tec...",https://m.media-amazon.com/images/I/51cOMZ0vfmL._AC_UL800_.jpg,4.0,148271.0,2999.0,6990.0,Audio
"Fitbit FB507RGPK Versa 2 Health & Fitness Smartwatch with Heart Rate, Music, Alexa Built-in, Sleep & Swim Tracking, Petal/...",https://m.media-amazon.com/images/I/61L5Jko2QqL._AC_UL800_.jpg,4.1,143611.0,11880.0,14999.0,Wearables
"Fitbit FB507BKBK Versa 2 Health & Fitness Smartwatch with Heart Rate, Music, Alexa Built-in, Sleep & Swim Tracking, Black/...",https://m.media-amazon.com/images/I/5194ncpe5IL._AC_UL800_.jpg,4.1,143611.0,11010.0,14999.0,Wearables
Samsung EVO Plus 512GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC512KA),https://m.media-amazon.com/images/I/61FVydb2HHL._AC_UL800_.jpg,4.3,142840.0,3399.0,22999.0,Accessories
Samsung EVO Plus 64GB microSDXC UHS-I U1 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64KA),https://m.media-amazon.com/images/I/61rnCkrurxL._AC_UL800_.jpg,4.3,142840.0,489.0,1899.0,Accessories
Samsung EVO Plus 256GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC256KA),https://m.media-amazon.com/images/I/71yD4EP3G4L._AC_UL800_.jpg,4.3,142840.0,1729.0,4999.0,Accessories
Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA),https://m.media-amazon.com/images/I/61fkOHNmzpL._AC_UL800_.jpg,4.3,142840.0,889.0,2699.0,Accessories
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sa...,https://m.media-amazon.com/images/I/71lVwl3q-kL._AC_UL800_.jpg,4.3,135528.0,2049.0,2199.0,Accessories
Mi Power Bank Boost Pro 30000mAh 18W,https://m.media-amazon.com/images/I/61YrXCjFaFL._AC_UL800_.jpg,4.3,135528.0,3299.0,4999.0,Accessories
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)",https://m.media-amazon.com/images/I/71Rcb9pnbEL._AC_UL800_.jpg,4.3,135528.0,1199.0,2199.0,Accessories
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),https://m.media-amazon.com/images/I/71b66am+2VL._AC_UL800_.jpg,4.3,135528.0,1199.0,2199.0,Accessories
TP-link 300Mbps Wireless N Speed N300 TL-WR840N Wi-Fi Single Band Router | Access Point Mode | Range Extender mode | WISP ...,https://m.media-amazon.com/images/I/51kWeYzphuL._AC_UL800_.jpg,4.2,124050.0,1049.0,1599.0,Wearables
"TP-Link TL-WR820N 300 Mbps Single_Band Speed Wireless WiFi Router, Easy Setup, IPv6 Compatible, Supports Parent Control, G...",https://m.media-amazon.com/images/I/51sggSCXAZL._AC_UL800_.jpg,4.2,124050.0,899.0,1299.0,Wearables
TP-link N300 WiFi Wireless Router TL-WR845N | 300Mbps Wi-Fi Speed | Three 5dBi high gain Antennas | IPv6 Compatible | AP/R...,https://m.media-amazon.com/images/I/41fQ5NSkEWL._AC_UL800_.jpg,4.2,124050.0,1099.0,1699.0,Networking
"TP-Link TL-WR841N RJ-45 300Mbps Wireless Single_Band N Cable, 4 Fast LAN Ports, Easy Setup, WPS Button, Supports Parent Co...",https://m.media-amazon.com/images/I/51c-UYDPK1L._AC_UL800_.jpg,4.2,124050.0,1049.0,1699.0,Wearables
"TP-Link TL-WR940N 450Mbps WiFi Wireless Single Band Router, 4 Fast LAN Ports, Easy Setup, WPS Button, Supports Parent Cont...",https://m.media-amazon.com/images/I/51ge3tjw5uL._AC_UL800_.jpg,4.2,124050.0,1399.0,2499.0,Wearables
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type...",https://m.media-amazon.com/images/I/81GE-JdnNMS._AC_UL800_.jpg,4.4,122476.0,3215.0,3999.0,Audio
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type...",https://m.media-amazon.com/images/I/71fzp1etPwL._AC_UL800_.jpg,4.4,122476.0,3214.0,3999.0,Audio
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type...",https://m.media-amazon.com/images/I/81T8JGfWRNS._AC_UL800_.jpg,4.4,122476.0,3318.0,4499.0,Audio
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type...",https://m.media-amazon.com/images/I/71a1b79ML-L._AC_UL800_.jpg,4.4,122476.0,3215.0,4499.0,Audio
"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Black)",https://m.media-amazon.com/images/I/51HN96FHhHL._AC_UL800_.jpg,4.1,121021.0,499.0,599.0,Audio
"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Red)",https://m.media-amazon.com/images/I/51jQf9R95lL._AC_UL800_.jpg,4.1,121021.0,499.0,999.0,Audio
"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Blue)",https://m.media-amazon.com/images/I/51JEyMBwVZL._AC_UL800_.jpg,4.1,121021.0,599.0,999.0,Audio
wipro Ns9400 9-Watt B22D Wifi Smart Led Bulb With Music Sync Compatible With Amazon Alexa And Google Assistant ( Warm Whit...,https://m.media-amazon.com/images/I/71LIfhSpAYS._AC_UL800_.jpg,4.1,117200.0,616.96,2099.0,Speakers
"TP-Link TL-WA855RE N300 Mbps Single Band Universal Wireless Range Extender, Broadband/WiFi Extender with 1 Ethernet Port a...",https://m.media-amazon.com/images/I/617leQbRspL._AC_UL800_.jpg,4.1,115068.0,1599.0,3599.0,Wearables
"boAt Rockerz 330 in-Ear Bluetooth Neckband with Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual Pairing & IPX5...",https://m.media-amazon.com/images/I/51HWmUoZhWS._AC_UL800_.jpg,4.1,114951.0,1199.0,3990.0,Audio
"boAt Rockerz 330ANC Bluetooth Neckband in Ear Earphones with mic, Crystal Bionic Sound Powered by Dirac Opteo, ANC, 13mm D...",https://m.media-amazon.com/images/I/514FHju3wzL._AC_UL800_.jpg,4.1,114951.0,1999.0,4999.0,Audio
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dua...",https://m.media-amazon.com/images/I/51VjItOqx3L._AC_UL800_.jpg,4.1,114951.0,1599.0,2990.0,Audio
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dua...",https://m.media-amazon.com/images/I/51BPFZq3QtL._AC_UL800_.jpg,4.1,114951.0,1599.0,2990.0,Audio
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dua...",https://m.media-amazon.com/images/I/512ek05dr+L._AC_UL800_.jpg,4.1,114951.0,1599.0,2990.0,Audio
"boAt Rockerz 330ANC Bluetooth in Ear Neckband with mic, Crystal Bionic Sound Powered by Dirac Opteo, Active Noise Cancella...",https://m.media-amazon.com/images/I/51DMD0pgYOL._AC_UL800_.jpg,4.1,114951.0,1999.0,4990.0,Audio
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dua...",https://m.media-amazon.com/images/I/51Mj5+gi54L._AC_UL800_.jpg,4.1,114951.0,1599.0,2990.0,Audio
"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual ...",https://m.media-amazon.com/images/I/51DwGiJSNXS._AC_UL800_.jpg,4.1,114951.0,1099.0,3990.0,Audio
"boAt Rockerz 330ANC Bluetooth in Ear Neckband with Mic, Crystal Bionic Sound Powered by Dirac Opteo, Active Noise Cancella...",https://m.media-amazon.com/images/I/51FtpnuqtDL._AC_UL800_.jpg,4.1,114951.0,1999.0,4999.0,Audio
"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual ...",https://m.media-amazon.com/images/I/514sHd2+YyS._AC_UL800_.jpg,4.1,114951.0,1099.0,3990.0,Audio
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/71V--WZVUIL._AC_UL800_.jpg,4.3,113956.0,18999.0,19999.0,Smartphones
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/71AvQd3VzqL._AC_UL800_.jpg,4.3,113956.0,18999.0,19999.0,Smartphones
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 8GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/71AvQd3VzqL._AC_UL800_.jpg,4.3,113956.0,20999.0,21999.0,Smartphones
"boAt Rockerz 450 Pro Bluetooth Wireless On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Pad...",https://m.media-amazon.com/images/I/61IN9K+dIcL._AC_UL800_.jpg,4.1,111019.0,1999.0,3990.0,Audio
